OBJECTID,Date,Tree ID,Site Type,Land Use,Irrigation,DBH,Height,Fall Color,Flowering,Fruiting,Tree Status,Crown Vigor,Biotic Damage,Abiotic Damage,Invasive Potential,Comments,Creator,Creation Date,Last Editor,Last Edit Date,GlobalID
23,10/20/2024 6:00:00 AM,2024023,OM,INST,MI,0.75,8.29,V,N,N,A,H,ND,GA,I,Transplant shock,DBURCHAM,8/20/2024 7:21:19 PM,,10/20/2024 11:56:27 PM,cc244f27-5fc9-42d1-93ef-a250417bfb85
24,8/21/2024 6:00:00 AM,2024024,OM,INST,MI,0.5,8.02,,,,A,H,ND,GA,I,Transplant shock,DBURCHAM,8/20/2024 7:21:19 PM,dburcham_CSUesri,8/21/2024 6:39:51 PM,c0451fb8-dab5-4504-8f5e-d0eb2ded467d
25,8/21/2024 6:00:00 AM,2024025,OM,INST,MI,0.75,6.79,,,,A,H,ND,ND,I,Excellent condition,DBURCHAM,8/20/2024 7:21:19 PM,dburcham_CSUesri,8/21/2024 6:41:02 PM,d4bc8560-0b36-48c1-bf7c-3db35720a4e3
26,8/21/2024 6:00:00 AM,2024026,OM,INST,MI,0.75,8.27,,,,A,H,ND,GA,I,Transplant shock,DBURCHAM,8/20/2024 7:21:19 PM,dburcham_CSUesri,8/21/2024 6:41:50 PM,bb65a993-ccc6-4d9f-9bd2-8312049544d9
28,10/20/2024 6:00:00 AM,2024027,OM,INST,MI,0.53,7.54,,V,,A,H,ND,ND,I,Excellent condition,DBURCHAM,8/20/2024 7:21:19 PM,,10/20/2024 11:54:27 PM,69c092a0-7305-4963-a226-7665fe3f150e
29,7/30/2025 6:00:00 AM,2024001,OM,INST,MI,0.5,4,D,N,N,A,D,ND,WD,I,Basal suckering,,7/30/2025 10:02:37 PM,,7/30/2025 10:02:37 PM,61084809-dd7d-41db-8b71-3c7e0c82dd46
30,7/30/2025 6:00:00 AM,2024002,OM,INST,MI,0.5,4,D,N,N,A,D,ND,WD,I,Basal suckering,,7/30/2025 10:04:05 PM,,7/30/2025 10:04:05 PM,44e5cb5a-7e9b-4771-84d3-d6f86e000f4d
31,7/30/2025 6:00:00 AM,2024003,OM,INST,MI,0.63,5.3,D,N,N,A,D,ND,WD,I,Basal suckering,,7/30/2025 10:06:20 PM,,7/30/2025 10:06:20 PM,2a36cc12-8d8f-46ed-ba5f-8676739f9e21
32,7/30/2025 6:00:00 AM,2024004,OM,INST,MI,0.5,5.25,D,N,N,A,D,ND,WD,I,Basal suckering,,7/30/2025 10:08:05 PM,,7/30/2025 10:08:05 PM,888c225a-2df4-42d7-9949-dc807b7d8d75
33,7/30/2025 6:00:00 AM,2024005,OM,INST,MI,0.5,4.83,D,N,N,A,D,ND,WD,I,Basal suckering,,7/30/2025 10:10:21 PM,,7/30/2025 10:10:21 PM,534ad151-de30-4e4b-b807-0b3ff80116cc
34,7/30/2025 6:00:00 AM,2024006,OM,INST,MI,0.5,7,V,S,S,A,H,ND,ND,I,,,7/30/2025 10:14:57 PM,,7/30/2025 10:14:57 PM,76cb8fa4-593b-4d15-9720-2f04a88c88cf
35,7/30/2025 6:00:00 AM,2024007,OM,INST,MI,1,7.6,D,S,S,A,MU,RU,ND,I,"Cedar apple rust, massive thorny root suckers",,7/30/2025 10:33:19 PM,,7/30/2025 10:33:19 PM,5cf43889-94ed-4625-9fbb-145f91d56449
36,7/30/2025 6:00:00 AM,2024008,OM,INST,MI,0.63,9.3,D,S,S,A,SEU,RU,ND,I,"Cedar apple rust, massive thorny root suckers",,7/30/2025 10:34:58 PM,,7/30/2025 10:34:58 PM,59460ce2-3210-4758-884d-34daa7a989b3
37,7/30/2025 6:00:00 AM,2024009,OM,INST,MI,0.75,8.6,D,S,S,A,MU,RU,ND,I,"Cedar apple rust, massive thorny root suckers",,7/30/2025 10:36:49 PM,,7/30/2025 10:36:49 PM,e3e5a64e-51cc-4fe0-9620-4a6fa37aae3a
38,7/30/2025 6:00:00 AM,2024010,OM,INST,MI,0.875,11,V,N,N,A,H,ND,ND,I,,,7/30/2025 10:38:47 PM,,7/30/2025 10:38:47 PM,18f67b65-c50f-4a6b-9bda-dab5f08d5d22
39,7/30/2025 6:00:00 AM,2024011,OM,INST,MI,0.625,8.4,V,N,N,A,H,ND,ND,I,,,7/30/2025 10:40:33 PM,,7/30/2025 10:40:33 PM,b0811339-865b-41a8-b766-c7487a89b92a
40,7/30/2025 6:00:00 AM,2024022,OM,INST,MI,1.5,12.8,N,N,N,A,H,DI,ND,I,"Japanese beetle leaf skeletonizing, massive root sucker",,7/30/2025 10:44:00 PM,,7/30/2025 10:47:50 PM,c77c0556-5981-4f63-adb9-a6dc52d3b9ee
41,7/30/2025 6:00:00 AM,2024021,OM,INST,MI,1.5,11.2,N,N,N,A,H,DI,ND,I,Japanese beetle leaf skeletonizing,,7/30/2025 10:47:21 PM,,7/30/2025 10:47:21 PM,b9e46f71-fc06-47b6-8eb6-236505efc988
42,7/30/2025 6:00:00 AM,2024020,OM,INST,MI,1.5,13.2,N,N,N,A,H,DI,ND,I,"Japanese beetle leaf skeletonizing, massive root suckers",,7/30/2025 10:53:16 PM,,7/30/2025 10:53:16 PM,33c32334-e3f0-479b-acb9-209d83ec32bb
43,7/30/2025 6:00:00 AM,2024019,OM,INST,MI,0.75,2.5,V,N,N,A,D,ND,MD,I,Stem broke,,7/30/2025 10:58:15 PM,,7/30/2025 10:58:15 PM,df8948b0-c52c-4064-8738-4d70c0ae581b
44,7/30/2025 6:00:00 AM,2024018,OM,INST,MI,0.5,6.75,N,N,N,A,H,ND,ND,I,,,7/30/2025 11:00:43 PM,,7/30/2025 11:00:43 PM,d7b5c85c-16ae-48e6-b47e-833118eb1629
45,7/30/2025 6:00:00 AM,2024017,OM,INST,MI,0.25,5,N,N,N,D,D,ND,WD,I,,,7/30/2025 11:03:11 PM,,7/30/2025 11:03:11 PM,ac643d8c-ea1c-4baa-bed7-099d553ffe61
46,7/30/2025 6:00:00 AM,2024016,OM,INST,MI,0.5,7.5,N,S,S,A,H,ND,ND,I,,,7/30/2025 11:04:50 PM,,7/30/2025 11:04:50 PM,f5733c1b-0e2c-42ed-951d-7b117505adbd
47,7/30/2025 6:00:00 AM,2024015,OM,INST,MI,0.5,9.5,N,N,N,A,D,ND,ND,I,,,7/30/2025 11:08:21 PM,,7/30/2025 11:08:21 PM,b640ad52-2e63-4eba-b5aa-c48d85e074c6
48,7/30/2025 6:00:00 AM,2024014,OM,INST,MI,0.5,9,N,N,N,A,D,ND,ND,I,,,7/30/2025 11:09:43 PM,,7/30/2025 11:09:43 PM,5fcb44c4-992f-4f04-968c-31b14c77f088
49,7/30/2025 6:00:00 AM,2024013,OM,INST,MI,0.5,8.75,N,N,N,A,D,ND,ND,I,,,7/30/2025 11:10:53 PM,,7/30/2025 11:10:53 PM,f1c8a828-cdaa-451e-aa14-bbb69dcdef95
50,7/30/2025 6:00:00 AM,2024012,OM,INST,MI,0.875,10.75,V,N,N,A,H,ND,ND,I,,,7/30/2025 11:13:14 PM,,7/30/2025 11:13:14 PM,f20b44c4-adb9-4fc0-9b61-bdd1a0a20f50
51,7/30/2025 6:00:00 AM,2024023,OM,INST,MI,1,9.5,V,N,N,A,H,ND,ND,I,,,7/30/2025 11:15:20 PM,,7/30/2025 11:15:20 PM,22fbe244-462f-4e8e-8e2f-02b74b16e1b1
52,7/30/2025 6:00:00 AM,2024024,OM,INST,MI,0.75,9.5,N,N,N,A,H,ND,ND,I,,,7/30/2025 11:17:06 PM,,7/30/2025 11:17:06 PM,871a1768-4914-4d72-b7be-11d6d16909ac
